group_id,pdb_code,match_types,chemical_name,formula,canonical_smiles
0IE,0IE,head_to_tail,Siphonaxanthin,"""C40 H56 O4""",CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\CO)C(=O)CC1=C(C)C[C@@H](O)CC1(C)C
0UR,0UR,head_to_tail,Siphonein,"""C52 H76 O5""",CCCCCCCCC/C=C\C(=O)OC/C(=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)C(=O)CC1=C(C)C[C@@H](O)CC1(C)C
1O8,1O8,head_to_tail,"""(2E,4E,6Z,8E)-8-(3,4-dihydronaphthalen-1(2H)-ylidene)-3,7-dimethylocta-2,4,6-trienoic acid""","""C20 H22 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2ccccc21
22B,22B,head_to_tail,BACTERIORUBERIN,"""C50 H76 O4""",CC(C=CC(CCC(C)(C)O)C(C)(C)O)=CC=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H](CCC(C)(C)O)C(C)(C)O
2TX,2TX,tail_to_tail,"""(3S)-2,2-dimethyl-3-[(3E,7E,11E,15E)-3,7,12,16,20-pentamethylhenicosa-3,7,11,15,19-pentaen-1-yl]oxirane""","""C30 H50 O""",CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C
2VP,2VP,head_to_tail,"""(2E,4E,6Z,8E)-3,7-dimethyl-8-(7-methyl-3,4-dihydronaphthalen-1(2H)-ylidene)octa-2,4,6-trienoic acid""","""C21 H24 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2ccc(C)cc21
2VR,2VR,head_to_tail,"""(2E,4E,6Z,8E)-3,7-dimethyl-8-(8-methyl-3,4-dihydronaphthalen-1(2H)-ylidene)octa-2,4,6-trienoic acid""","""C21 H24 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2cccc(C)c21
2VZ,2VZ,head_to_tail,"""(2E,4E,6Z,8E)-3,7-dimethyl-8-(6-methyl-3,4-dihydronaphthalen-1(2H)-ylidene)octa-2,4,6-trienoic acid""","""C21 H24 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2cc(C)ccc21
2W0,2W0,head_to_tail,"""(2E,4E,6Z,8E)-3,7-dimethyl-8-(5-methyl-3,4-dihydronaphthalen-1(2H)-ylidene)octa-2,4,6-trienoic acid""","""C21 H24 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1/CCCc2c(C)cccc21
32N,32N,head_to_tail,"""(1S)-4-[(1E,3Z,5E,7E,9E,11E,13E,15E,17E)-3-(hydroxymethyl)-7,12,16-trimethyl-18-[(1R,4S)-2,6,6-trimethyl-4-oxidanyl-cyclohex-2-en-1-yl]octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethyl-cyclohex-3-en-1-ol""","""C40 H56 O3""",CC1=C[C@@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(/C=C/C1=C(C)C[C@H](O)CC1(C)C)CO
3KV,3KV,head_to_tail,"""retinoic acid""","""C20 H28 O2""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
3KV,REA,head_to_tail,"""RETINOIC ACID""","""C20 H28 O2""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
3ON,3ON,head_to_tail,"""(3R)-3-HYDROXY-8'-APOCAROTENOL""","""C30 H42 O2""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C=C\C=C(C)/C=C/C=C(\C)CO)C(C)(C)C[C@H](O)C1
3RB,3RB,head_to_tail,"""(2E,4E,6Z,8E)-3,7-dimethyl-8-(6,7,8,9-tetrahydro-5H-benzo[7]annulen-5-ylidene)octa-2,4,6-trienoic acid""","""C21 H24 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1/CCCCc2ccccc21
3SW,3SW,head_to_tail,"""(2E,4E,6Z,8E)-8-[3-cyclopropyl-2-(3-methylbutyl)cyclohex-2-en-1-ylidene]-3,7-dimethylocta-2,4,6-trienoic acid""","""C24 H34 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCC(C2CC2)=C1CCC(C)C
3T2,3T2,head_to_tail,"""(2E,4E,6Z,8E)-3,7-dimethyl-8-[2-(3-methylbutyl)-3-(propan-2-yl)cyclohex-2-en-1-ylidene]octa-2,4,6-trienoic acid""","""C24 H36 O2""",CC(=C/C=C/C(C)=C/C(=O)O)/C=C1/CCCC(C(C)C)=C1CCC(C)C
45D,45D,head_to_tail,"""beta,beta-carotene-4,4'-dione""","""C40 H52 O2""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O
